protein_id	transcript_id	tpm	n_curated_matches	curated_terms	sp_prob	tm_count	gene_name	diamond_subject	diamond_sciname	diamond_pident	pfam_domains	eggnog_desc	cazy	go_terms
TRINITY_DN120028_c1_g1_i8.p1	TRINITY_DN120028_c1_g1_i8	1.3784	1	ef_hand_ca_binding	1.0	0	XP_054277776.1 glucosidase 2 subunit beta-like [Ma	XP_054277776.1	Macrosteles quadrilineatus	67.6	PRKCSH-like(PF12999.13);PRKCSH_1(PF13015.13);PRKCSH(PF07915.20);EF-hand_5(PF13202.13);EF-hand_6(PF13405.13)	It is involved in the biological process described with N-glycan processing		GO:0001655,GO:0001701,GO:0001889,GO:0003674,GO:0003676,GO:0003723,GO:0005080,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0006464,GO:0006491,GO:0006807,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0008150,GO:0008152,GO:0009100,GO:0009790,GO:0009792,GO:0009987,GO:0010721,GO:0010975,GO:0010977,GO:0012505,GO:0016043,GO:0017177,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0022008,GO:0022607,GO:0023052,GO:0030154,GO:0031344,GO:0031345,GO:0031974,GO:0032501,GO:0032502,GO:0032991,GO:0035556,GO:0036211,GO:0043009,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043687,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044325,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045595,GO:0045596,GO:0045664,GO:0045665,GO:0046872,GO:0048513,GO:0048519,GO:0048523,GO:0048699,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051128,GO:0051129,GO:0051219,GO:0051239,GO:0051241,GO:0051259,GO:0051291,GO:0051716,GO:0051960,GO:0051961,GO:0060284,GO:0061008,GO:0065003,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0072001,GO:0097159,GO:0120035,GO:1901135,GO:1901363,GO:1901564,GO:2000026
TRINITY_DN8304_c0_g1_i15.p1	TRINITY_DN8304_c0_g1_i15	1.3683	1	ef_hand_ca_binding	1.0	0	XP_046665281.1 stromal interaction molecule homolo	XP_046665281.1	Homalodisca vitripennis	91.0	EF-hand_STIM1(PF25578.2);SAM_2(PF07647.25);SAM_1(PF00536.38)	STIM1 Orai1-activating region		GO:0000003,GO:0002009,GO:0002020,GO:0002115,GO:0002165,GO:0003674,GO:0005215,GO:0005216,GO:0005217,GO:0005246,GO:0005261,GO:0005262,GO:0005488,GO:0005509,GO:0005513,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005886,GO:0005887,GO:0005938,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0006937,GO:0006940,GO:0007154,GO:0007165,GO:0007204,GO:0007275,GO:0007276,GO:0007292,GO:0007423,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0008016,GO:0008017,GO:0008092,GO:0008150,GO:0008324,GO:0009593,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0010035,GO:0010038,GO:0010959,GO:0012505,GO:0014902,GO:0015075,GO:0015085,GO:0015267,GO:0015276,GO:0015278,GO:0015279,GO:0015318,GO:0015631,GO:0016020,GO:0016021,GO:0016247,GO:0016528,GO:0016529,GO:0019722,GO:0019725,GO:0019899,GO:0019932,GO:0019953,GO:0022414,GO:0022416,GO:0022603,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0022890,GO:0022898,GO:0023051,GO:0023052,GO:0030001,GO:0030003,GO:0030100,GO:0030154,GO:0030176,GO:0030424,GO:0030425,GO:0030426,GO:0030427,GO:0030728,GO:0031090,GO:0031214,GO:0031224,GO:0031226,GO:0031227,GO:0031984,GO:0032237,GO:0032409,GO:0032411,GO:0032412,GO:0032414,GO:0032501,GO:0032502,GO:0032504,GO:0032541,GO:0032879,GO:0032991,GO:0033017,GO:0033267,GO:0034220,GO:0034505,GO:0034762,GO:0034764,GO:0034765,GO:0034767,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0035556,GO:0036477,GO:0042175,GO:0042221,GO:0042475,GO:0042476,GO:0042592,GO:0042692,GO:0042802,GO:0042995,GO:0043005,GO:0043025,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043269,GO:0043270,GO:0044057,GO:0044093,GO:0044297,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044448,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0045765,GO:0045766,GO:0045807,GO:0045933,GO:0045987,GO:0046872,GO:0046873,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048609,GO:0048646,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048763,GO:0048856,GO:0048869,GO:0048878,GO:0050764,GO:0050766,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050896,GO:0051010,GO:0051049,GO:0051050,GO:0051094,GO:0051128,GO:0051130,GO:0051146,GO:0051179,GO:0051209,GO:0051234,GO:0051239,GO:0051240,GO:0051282,GO:0051283,GO:0051480,GO:0051592,GO:0051606,GO:0051641,GO:0051649,GO:0051704,GO:0051716,GO:0051924,GO:0051928,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060099,GO:0060100,GO:0060401,GO:0060402,GO:0060429,GO:0060562,GO:0060627,GO:0061061,GO:0065007,GO:0065008,GO:0065009,GO:0070166,GO:0070588,GO:0070838,GO:0071782,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0090257,GO:0097186,GO:0097447,GO:0097458,GO:0097553,GO:0098588,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098772,GO:0098827,GO:0099094,GO:0099106,GO:0099568,GO:0099604,GO:0120025,GO:0120038,GO:0150034,GO:1901019,GO:1901021,GO:1901074,GO:1901076,GO:1901339,GO:1901341,GO:1901342,GO:1903169,GO:1903522,GO:1903779,GO:1904018,GO:1904062,GO:1904064,GO:1904427,GO:1905153,GO:1905155,GO:2000026,GO:2000425,GO:2000427,GO:2001256,GO:2001257,GO:2001259
TRINITY_DN47908_c0_g1_i3.p1	TRINITY_DN47908_c0_g1_i3	1.3545	1	ef_hand_ca_binding	1.0	0	XP_035457562.2 multiple coagulation factor deficie	XP_035457562.2	Spodoptera frugiperda	67.5	EF-hand_7(PF13499.13)	EF-hand domain pair		GO:0000003,GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005793,GO:0005798,GO:0006082,GO:0006810,GO:0006888,GO:0006900,GO:0006901,GO:0006903,GO:0006996,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0008150,GO:0008152,GO:0009987,GO:0010941,GO:0012505,GO:0012506,GO:0012507,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0019752,GO:0022607,GO:0030133,GO:0030134,GO:0030135,GO:0030658,GO:0030659,GO:0030660,GO:0030662,GO:0031090,GO:0031410,GO:0031982,GO:0031984,GO:0032501,GO:0032502,GO:0032504,GO:0033116,GO:0042175,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044281,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0046907,GO:0048193,GO:0048194,GO:0048199,GO:0048207,GO:0048208,GO:0048513,GO:0048519,GO:0048523,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0060322,GO:0060548,GO:0061024,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:0090114,GO:0097708,GO:0098588,GO:0098805,GO:0098827
TRINITY_DN44432_c1_g1_i7.p1	TRINITY_DN44432_c1_g1_i7	1.2873	1	dpp4	1.0	0	XP_054284385.1 venom dipeptidyl peptidase 4-like [	XP_054284385.1	Macrosteles quadrilineatus	57.4	DPPIV_N(PF00930.28);Peptidase_S9(PF00326.28)	Dipeptidyl peptidase IV (DPP IV) N-terminal region		GO:0001508,GO:0001618,GO:0001662,GO:0001666,GO:0001667,GO:0001726,GO:0001775,GO:0002020,GO:0002209,GO:0002376,GO:0002682,GO:0002684,GO:0002694,GO:0002696,GO:0002697,GO:0002703,GO:0002706,GO:0002709,GO:0002791,GO:0002819,GO:0002822,GO:0003008,GO:0003674,GO:0003824,GO:0004175,GO:0004177,GO:0004222,GO:0004252,GO:0005102,GO:0005178,GO:0005488,GO:0005515,GO:0005518,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005886,GO:0005887,GO:0005911,GO:0006508,GO:0006807,GO:0006915,GO:0006928,GO:0006950,GO:0006952,GO:0007049,GO:0007050,GO:0007154,GO:0007346,GO:0007610,GO:0007626,GO:0008076,GO:0008104,GO:0008150,GO:0008152,GO:0008219,GO:0008233,GO:0008236,GO:0008237,GO:0008238,GO:0008239,GO:0008283,GO:0008284,GO:0008285,GO:0009056,GO:0009057,GO:0009628,GO:0009894,GO:0009986,GO:0009987,GO:0010564,GO:0010631,GO:0010646,GO:0010710,GO:0010712,GO:0010715,GO:0010716,GO:0010817,GO:0010941,GO:0010942,GO:0010959,GO:0012501,GO:0012505,GO:0015459,GO:0016020,GO:0016021,GO:0016032,GO:0016247,GO:0016324,GO:0016477,GO:0016787,GO:0017171,GO:0019058,GO:0019222,GO:0019226,GO:0019228,GO:0019538,GO:0019899,GO:0022402,GO:0022407,GO:0022409,GO:0023051,GO:0023052,GO:0030027,GO:0030054,GO:0030139,GO:0030155,GO:0030163,GO:0030193,GO:0030260,GO:0031224,GO:0031226,GO:0031252,GO:0031253,GO:0031256,GO:0031294,GO:0031295,GO:0031410,GO:0031982,GO:0032101,GO:0032501,GO:0032587,GO:0032879,GO:0032880,GO:0032991,GO:0033036,GO:0033218,GO:0033555,GO:0033628,GO:0033632,GO:0034613,GO:0034702,GO:0034703,GO:0034705,GO:0034762,GO:0034764,GO:0034765,GO:0034767,GO:0035637,GO:0035640,GO:0035641,GO:0036293,GO:0036343,GO:0036477,GO:0040011,GO:0042110,GO:0042127,GO:0042277,GO:0042391,GO:0042596,GO:0042802,GO:0042803,GO:0042981,GO:0042995,GO:0043025,GO:0043065,GO:0043067,GO:0043068,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043266,GO:0043268,GO:0043269,GO:0043270,GO:0043542,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044297,GO:0044325,GO:0044403,GO:0044409,GO:0044419,GO:0044421,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044463,GO:0044464,GO:0044877,GO:0045177,GO:0045178,GO:0045321,GO:0045785,GO:0045786,GO:0045787,GO:0045930,GO:0046581,GO:0046649,GO:0046718,GO:0046883,GO:0046983,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048870,GO:0050673,GO:0050708,GO:0050776,GO:0050789,GO:0050794,GO:0050796,GO:0050818,GO:0050839,GO:0050863,GO:0050865,GO:0050867,GO:0050870,GO:0050877,GO:0050878,GO:0050896,GO:0051046,GO:0051049,GO:0051050,GO:0051128,GO:0051129,GO:0051179,GO:0051223,GO:0051234,GO:0051239,GO:0051249,GO:0051251,GO:0051603,GO:0051641,GO:0051674,GO:0051701,GO:0051704,GO:0051726,GO:0051806,GO:0051828,GO:0051917,GO:0060242,GO:0060244,GO:0060341,GO:0061041,GO:0061744,GO:0065007,GO:0065008,GO:0065009,GO:0070011,GO:0070201,GO:0070482,GO:0070727,GO:0071156,GO:0071158,GO:0071437,GO:0071438,GO:0071704,GO:0071850,GO:0071944,GO:0072657,GO:0072659,GO:0080134,GO:0090068,GO:0090087,GO:0090130,GO:0090132,GO:0090276,GO:0097325,GO:0097458,GO:0097708,GO:0098590,GO:0098772,GO:0098796,GO:0098797,GO:0099106,GO:0104005,GO:0120025,GO:0120038,GO:0140096,GO:1900046,GO:1900117,GO:1900119,GO:1901379,GO:1901381,GO:1901564,GO:1901565,GO:1901575,GO:1902362,GO:1902495,GO:1903034,GO:1903037,GO:1903039,GO:1903053,GO:1903054,GO:1903076,GO:1903078,GO:1903530,GO:1903827,GO:1903829,GO:1904062,GO:1904064,GO:1904375,GO:1904377,GO:1905475,GO:1905477,GO:1990351,GO:1990778
TRINITY_DN11324_c1_g1_i13.p1	TRINITY_DN11324_c1_g1_i13	1.2421	1	ef_hand_ca_binding	1.0	0	XP_054276222.1 SPARC-related modular calcium-bindi	XP_054276222.1	Macrosteles quadrilineatus	64.4	Thyroglobulin_1(PF00086.24);SPARC_Ca_bdg(PF10591.16);Kazal_2(PF07648.21);EF-hand_7(PF13499.13);Kazal_1(PF00050.27);EF-hand_1(PF00036.39);EF-hand_FSTL1(PF23564.2);EF-hand_6(PF13405.13)	Thyroglobulin type I repeats.		GO:0001654,GO:0002009,GO:0002165,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005604,GO:0006355,GO:0006357,GO:0007275,GO:0007423,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0007568,GO:0008150,GO:0008340,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009966,GO:0009967,GO:0009987,GO:0010259,GO:0010468,GO:0010556,GO:0010646,GO:0010647,GO:0010810,GO:0010811,GO:0016043,GO:0019219,GO:0019222,GO:0019827,GO:0023051,GO:0023056,GO:0030155,GO:0030198,GO:0030278,GO:0030510,GO:0030513,GO:0030718,GO:0031012,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0043062,GO:0043167,GO:0043168,GO:0043394,GO:0043395,GO:0044421,GO:0044719,GO:0045595,GO:0045667,GO:0045785,GO:0048513,GO:0048518,GO:0048522,GO:0048563,GO:0048569,GO:0048583,GO:0048584,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050840,GO:0051171,GO:0051239,GO:0051252,GO:0060173,GO:0060255,GO:0060429,GO:0060562,GO:0062023,GO:0065007,GO:0065008,GO:0071840,GO:0080090,GO:0090066,GO:0090092,GO:0090100,GO:0090287,GO:0097367,GO:0098727,GO:1901681,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN6789_c0_g1_i2.p1	TRINITY_DN6789_c0_g1_i2	1.2295	1	ef_hand_ca_binding	1.0	0	XP_054260746.1 proteoglycan Cow isoform X2 [Macros	XP_054260746.1	Macrosteles quadrilineatus	79.0	SPARC_Ca_bdg(PF10591.16);Thyroglobulin_1(PF00086.24);Kazal_2(PF07648.21);EF-hand_1(PF00036.39)	Thyroglobulin type-1 repeat		GO:0003002,GO:0003674,GO:0004857,GO:0004866,GO:0005488,GO:0005515,GO:0005539,GO:0005575,GO:0005576,GO:0005615,GO:0006022,GO:0006029,GO:0006082,GO:0006464,GO:0006790,GO:0006807,GO:0006810,GO:0006858,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007389,GO:0007444,GO:0007447,GO:0007450,GO:0008104,GO:0008150,GO:0008152,GO:0008191,GO:0009100,GO:0009790,GO:0009880,GO:0009888,GO:0009892,GO:0009953,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010466,GO:0010605,GO:0010646,GO:0010647,GO:0010648,GO:0010951,GO:0017147,GO:0018149,GO:0018193,GO:0018209,GO:0019222,GO:0019538,GO:0019800,GO:0023051,GO:0023056,GO:0023057,GO:0030111,GO:0030162,GO:0030177,GO:0030178,GO:0030203,GO:0030204,GO:0030234,GO:0030414,GO:0031012,GO:0031323,GO:0031324,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032879,GO:0033036,GO:0035220,GO:0035222,GO:0035282,GO:0035295,GO:0035592,GO:0036211,GO:0040012,GO:0040013,GO:0043086,GO:0043170,GO:0043412,GO:0043436,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0044421,GO:0045184,GO:0045861,GO:0048190,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048731,GO:0048856,GO:0050654,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051246,GO:0051248,GO:0051270,GO:0051271,GO:0051336,GO:0051346,GO:0052547,GO:0052548,GO:0060255,GO:0060429,GO:0060828,GO:0061134,GO:0061135,GO:0065007,GO:0065009,GO:0071692,GO:0071704,GO:0080090,GO:0090090,GO:0090263,GO:0097367,GO:0098772,GO:1901135,GO:1901564,GO:1903510,GO:2000145,GO:2000146
TRINITY_DN2463_c1_g1_i6.p1	TRINITY_DN2463_c1_g1_i6	1.1808	1	mucin	1.0	0	XP_054269944.1 mucin-2 isoform X2 [Macrosteles qua	XP_054269944.1	Macrosteles quadrilineatus	68.4	Glyco_hydro_18(PF00704.35);CBM_14(PF01607.30)	Glyco_18	GH18(48-404);GH18_e132(49-405);CBM14_e46(500-552);CBM14_e46(1146-1196);CBM14;GH18	GO:0003674,GO:0003824,GO:0004553,GO:0004568,GO:0005488,GO:0005575,GO:0005576,GO:0006022,GO:0006026,GO:0006030,GO:0006032,GO:0006040,GO:0006807,GO:0007591,GO:0008061,GO:0008144,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0016798,GO:0017144,GO:0018990,GO:0022404,GO:0032501,GO:0042303,GO:0042737,GO:0043170,GO:0044237,GO:0044248,GO:0046348,GO:0071704,GO:0097367,GO:1901071,GO:1901072,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575
TRINITY_DN16717_c0_g1_i3.p1	TRINITY_DN16717_c0_g1_i3	1.1146	1	salivary_secreted	1.0	0	XP_026468713.1 probable salivary secreted peptide 	XP_026468713.1	Ctenocephalides felis	35.0	MBF2(PF15868.11)	Transcription activator MBF2		
TRINITY_DN19958_c0_g1_i4.p1	TRINITY_DN19958_c0_g1_i4	1.1139	1	mucin	0.98	0	XP_054287699.1 hemocytin [Macrosteles quadrilineat	XP_054287699.1	Macrosteles quadrilineatus	58.1	VWD(PF00094.31);C8(PF08742.17);F5_F8_type_C(PF00754.32);TIL(PF01826.24);Mucin2_WxxW(PF13330.12);VWF(PF23244.2);F5_F8_type_C_2(PF22633.4)	chitin binding. It is involved in the biological process described with chitin metabolic process		GO:0001775,GO:0002218,GO:0002220,GO:0002223,GO:0002252,GO:0002253,GO:0002263,GO:0002274,GO:0002275,GO:0002281,GO:0002366,GO:0002376,GO:0002429,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0002768,GO:0003008,GO:0003674,GO:0005198,GO:0005201,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005796,GO:0005886,GO:0006464,GO:0006486,GO:0006493,GO:0006807,GO:0006810,GO:0006869,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0007154,GO:0007165,GO:0007166,GO:0007586,GO:0007599,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009611,GO:0009987,GO:0010876,GO:0012505,GO:0015850,GO:0015918,GO:0016020,GO:0016266,GO:0019538,GO:0022600,GO:0023052,GO:0030299,GO:0030301,GO:0031347,GO:0031349,GO:0031974,GO:0032501,GO:0033036,GO:0034645,GO:0035556,GO:0036211,GO:0042060,GO:0042116,GO:0042381,GO:0042592,GO:0042632,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044241,GO:0044249,GO:0044260,GO:0044267,GO:0044421,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045087,GO:0045088,GO:0045089,GO:0045321,GO:0046790,GO:0046983,GO:0048015,GO:0048017,GO:0048518,GO:0048583,GO:0048584,GO:0048878,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050817,GO:0050878,GO:0050892,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055088,GO:0055092,GO:0065007,GO:0065008,GO:0070013,GO:0070085,GO:0070701,GO:0071702,GO:0071704,GO:0071944,GO:0080134,GO:0098856,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576
TRINITY_DN47908_c0_g1_i15.p1	TRINITY_DN47908_c0_g1_i15	1.1126	1	ef_hand_ca_binding	1.0	0	XP_052748102.1 multiple coagulation factor deficie	XP_052748102.1	Galleria mellonella	70.3	EF-hand_7(PF13499.13);EF-hand_FSTL1(PF23564.2)	EF-hand domain pair		GO:0000003,GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005793,GO:0005798,GO:0006082,GO:0006810,GO:0006888,GO:0006900,GO:0006901,GO:0006903,GO:0006996,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0008150,GO:0008152,GO:0009987,GO:0010941,GO:0012505,GO:0012506,GO:0012507,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0019752,GO:0022607,GO:0030133,GO:0030134,GO:0030135,GO:0030658,GO:0030659,GO:0030660,GO:0030662,GO:0031090,GO:0031410,GO:0031982,GO:0031984,GO:0032501,GO:0032502,GO:0032504,GO:0033116,GO:0042175,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044281,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0046907,GO:0048193,GO:0048194,GO:0048199,GO:0048207,GO:0048208,GO:0048513,GO:0048519,GO:0048523,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0060322,GO:0060548,GO:0061024,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:0090114,GO:0097708,GO:0098588,GO:0098805,GO:0098827
TRINITY_DN6167_c0_g1_i3.p1	TRINITY_DN6167_c0_g1_i3	1.1018	1	mucin	1.0	0	XP_054264125.1 mucin-2-like [Macrosteles quadrilin	XP_054264125.1	Macrosteles quadrilineatus	76.3	Zona_pellucida(PF00100.30)	Zona pellucida (ZP) domain		GO:0000902,GO:0000904,GO:0002064,GO:0003382,GO:0003383,GO:0003674,GO:0005198,GO:0005214,GO:0005575,GO:0005623,GO:0005886,GO:0006928,GO:0006996,GO:0007010,GO:0007015,GO:0007155,GO:0007160,GO:0008150,GO:0008360,GO:0009653,GO:0009888,GO:0009987,GO:0016020,GO:0016043,GO:0016324,GO:0016476,GO:0022603,GO:0022604,GO:0022610,GO:0030029,GO:0030036,GO:0030048,GO:0030154,GO:0030855,GO:0031589,GO:0032502,GO:0032989,GO:0042302,GO:0044425,GO:0044459,GO:0044464,GO:0045177,GO:0045995,GO:0048468,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051239,GO:0060429,GO:0065007,GO:0065008,GO:0070252,GO:0071840,GO:0071944,GO:0097435,GO:0098590,GO:2000026
TRINITY_DN11978_c0_g1_i2.p1	TRINITY_DN11978_c0_g1_i2	1.0588	1	salivary_secreted	1.0	0	XP_054273273.1 probable salivary secreted peptide 	XP_054273273.1	Macrosteles quadrilineatus	48.4	MBF2(PF15868.11)	Transcription activator MBF2		
