protein_id	gene_name	diamond_subject	diamond_pident	diamond_evalue	diamond_bitscore	diamond_taxids	diamond_sciname	source_organism	lineage	is_eukaryote	is_bacteria	is_fungi	is_virus	pfam_domains	pfam_evalue	eggnog_og	cog_category	eggnog_desc	cazy	go_terms	kegg_ko	kegg_pathway	diamond_title
TRINITY_DN126941_c2_g1_i1.p1	MBV2145233.1 GIY-YIG nuclease family protein [Wolb	MBV2145233.1	67.2	2.39e-21	93.6	2832337	Wolbachia endosymbiont of Pissodes strobi	Wolbachia endosymbiont of Pissodes strobi	;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Wolbachia endosymbiont of Pissodes strobi	0	1	0	0			2CN36@1|root,2QTNN@2759|Eukaryota,38FJC@33154|Opisthokonta,3BM27@33208|Metazoa,3D0HQ@33213|Bilateria,4235T@6656|Arthropoda,3SPCY@50557|Insecta							MBV2145233.1 GIY-YIG nuclease family protein [Wolbachia endosymbiont of Pissodes strobi]
TRINITY_DN12694_c0_g4_i2.p1										0	0	0	0										
TRINITY_DN12696_c1_g1_i1.p1	XP_046665467.1 endocuticle structural glycoprotein	XP_046665467.1	56.1	3.51e-38	137	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	Chitin_bind_4(PF00379.30)	8.8e-13	2D9MR@1|root,2TF98@2759|Eukaryota,39AVR@33154|Opisthokonta,3CEY4@33208|Metazoa,3DWBI@33213|Bilateria,426I8@6656|Arthropoda,3SS8S@50557|Insecta,3EBCX@33342|Paraneoptera	O	Insect cuticle protein					XP_046665467.1 endocuticle structural glycoprotein SgAbd-9-like [Homalodisca vitripennis]
TRINITY_DN12698_c0_g3_i1.p1										0	0	0	0										
TRINITY_DN126_c0_g1_i2.p1	XP_046676490.1 calcium permeable stress-gated cati	XP_046676490.1	78.1	0.0	982	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	RSN1_7TM(PF02714.21);PHM7_cyt(PF14703.13)	9e-48	COG5594@1|root,KOG1134@2759|Eukaryota,38CBQ@33154|Opisthokonta,3BAXE@33208|Metazoa,3CUH0@33213|Bilateria,41V7P@6656|Arthropoda,3SIP3@50557|Insecta	S	Cytosolic domain of 10TM putative phosphate transporter		GO:0003674,GO:0005215,GO:0005216,GO:0005227,GO:0005261,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015267,GO:0015318,GO:0022803,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0022890,GO:0034220,GO:0044424,GO:0044464,GO:0045177,GO:0051179,GO:0051234,GO:0055085,GO:0098655	ko:K21989		XP_046676490.1 calcium permeable stress-gated cation channel 1 [Homalodisca vitripennis]
TRINITY_DN126_c0_g3_i1.p1	XP_054282029.1 calcium permeable stress-gated cati	XP_054282029.1	80.2	2.34e-66	227	74068	Macrosteles quadrilineatus	Macrosteles quadrilineatus	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Macrosteles;Macrosteles quadrilineatus	1	0	0	0	RSN1_TM(PF13967.12)	2.6e-06	COG5594@1|root,KOG1134@2759|Eukaryota,38CBQ@33154|Opisthokonta,3BAXE@33208|Metazoa,3CUH0@33213|Bilateria,41V7P@6656|Arthropoda,3SIP3@50557|Insecta	S	Cytosolic domain of 10TM putative phosphate transporter		GO:0003674,GO:0005215,GO:0005216,GO:0005227,GO:0005261,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015267,GO:0015318,GO:0022803,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0022890,GO:0034220,GO:0044424,GO:0044464,GO:0045177,GO:0051179,GO:0051234,GO:0055085,GO:0098655	ko:K21989		XP_054282029.1 calcium permeable stress-gated cation channel 1-like isoform X1 [Macrosteles quadrilineatus]
TRINITY_DN12700_c0_g1_i13.p1	XP_046678136.1 uncharacterized protein LOC12436600	XP_046678136.1	57.1	2.08e-99	320	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0			28NJW@1|root,2QV5I@2759|Eukaryota,39UMC@33154|Opisthokonta,3BHXE@33208|Metazoa,3D0QS@33213|Bilateria,41VAG@6656|Arthropoda,3SKMH@50557|Insecta							XP_046678136.1 uncharacterized protein LOC124366001 isoform X2 [Homalodisca vitripennis]
TRINITY_DN12700_c0_g1_i15.p1	XP_046678137.1 uncharacterized protein LOC12436600	XP_046678137.1	54.4	2.69e-57	205	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0			28NJW@1|root,2QV5I@2759|Eukaryota,39UMC@33154|Opisthokonta,3BHXE@33208|Metazoa,3D0QS@33213|Bilateria,41VAG@6656|Arthropoda,3SKMH@50557|Insecta							XP_046678137.1 uncharacterized protein LOC124366001 isoform X3 [Homalodisca vitripennis]
TRINITY_DN12708_c6_g1_i3.p1	XP_054258325.1 uncharacterized protein LOC12898317	XP_054258325.1	44.5	4.01e-74	241	74068	Macrosteles quadrilineatus	Macrosteles quadrilineatus	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Macrosteles;Macrosteles quadrilineatus	1	0	0	0										XP_054258325.1 uncharacterized protein LOC128983170 [Macrosteles quadrilineatus]
TRINITY_DN127135_c0_g1_i1.p1	GFX07182.1 uncharacterized protein TNCV_2423871 [T	GFX07182.1	42.0	1.99e-07	59.7	2585209	Trichonephila clavipes	Trichonephila clavipes	;Arthropoda;Arachnida;Araneae;Nephilidae;Trichonephila;Trichonephila clavipes	1	0	0	0										GFX07182.1 uncharacterized protein TNCV_2423871 [Trichonephila clavipes]
TRINITY_DN127135_c4_g1_i1.p1										0	0	0	0										
TRINITY_DN127194_c0_g2_i2.p1	XP_054262760.1 serine/threonine-protein kinase RIO	XP_054262760.1	71.2	1.34e-234	661	74068	Macrosteles quadrilineatus	Macrosteles quadrilineatus	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Macrosteles;Macrosteles quadrilineatus	1	0	0	0	RIO1(PF01163.29);Rio2_N(PF09202.18);APH(PF01636.30)	4.7e-54	COG0478@1|root,KOG2268@2759|Eukaryota,38HTH@33154|Opisthokonta,3BBYJ@33208|Metazoa,3CXI2@33213|Bilateria,41WA9@6656|Arthropoda,3SIF1@50557|Insecta	T	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation		GO:0002119,GO:0002164,GO:0003674,GO:0003824,GO:0004672,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0007088,GO:0007275,GO:0007346,GO:0007399,GO:0008150,GO:0008152,GO:0008284,GO:0009791,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010564,GO:0010604,GO:0010628,GO:0010720,GO:0010965,GO:0014013,GO:0014015,GO:0016070,GO:0016072,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019219,GO:0019222,GO:0019538,GO:0022008,GO:0022613,GO:0030071,GO:0030154,GO:0030490,GO:0030684,GO:0030688,GO:0031323,GO:0031325,GO:0031974,GO:0031981,GO:0032239,GO:0032241,GO:0032386,GO:0032388,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033047,GO:0033157,GO:0034470,GO:0034641,GO:0034660,GO:0036211,GO:0042127,GO:0042254,GO:0042274,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045595,GO:0045597,GO:0045935,GO:0046483,GO:0046777,GO:0046822,GO:0046824,GO:0046825,GO:0046827,GO:0046831,GO:0046833,GO:0048518,GO:0048522,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050769,GO:0050789,GO:0050793,GO:0050794,GO:0051049,GO:0051050,GO:0051094,GO:0051128,GO:0051171,GO:0051173,GO:0051222,GO:0051223,GO:0051239,GO:0051240,GO:0051252,GO:0051254,GO:0051726,GO:0051783,GO:0051960,GO:0051962,GO:0051983,GO:0060251,GO:0060252,GO:0060255,GO:0060284,GO:0060341,GO:0065007,GO:0070013,GO:0070201,GO:0071704,GO:0071840,GO:0080090,GO:0090069,GO:0090070,GO:0090087,GO:0090304,GO:0090316,GO:0140096,GO:1901360,GO:1901564,GO:1901987,GO:1901990,GO:1902099,GO:1903827,GO:1903829,GO:1904951,GO:1905818,GO:1990904,GO:2000026,GO:2000197,GO:2000199,GO:2000200,GO:2000202,GO:2000206,GO:2000208,GO:2000232,GO:2000234	ko:K07179	ko03008,map03008	XP_054262760.1 serine/threonine-protein kinase RIO2 [Macrosteles quadrilineatus]
TRINITY_DN127320_c4_g1_i1.p1	KAJ4441918.1 hypothetical protein ANN_11779 [Perip	KAJ4441918.1	38.5	6.07e-06	55.1	6978	Periplaneta americana	Periplaneta americana	;Arthropoda;Insecta;Blattodea;Blattidae;Periplaneta;Periplaneta americana	1	0	0	0										KAJ4441918.1 hypothetical protein ANN_11779 [Periplaneta americana]
TRINITY_DN1273_c1_g1_i3.p1	XP_054276018.1 SAGA-associated factor 11 homolog [	XP_054276018.1	48.5	1.44e-53	181	74068	Macrosteles quadrilineatus	Macrosteles quadrilineatus	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Macrosteles;Macrosteles quadrilineatus	1	0	0	0	Sgf11(PF08209.18);ATXN7L3B(PF27759.1)	3.3e-12	KOG2612@1|root,KOG2612@2759|Eukaryota,38FJF@33154|Opisthokonta,3BK0J@33208|Metazoa,3CTCX@33213|Bilateria,41YN0@6656|Arthropoda,3SMDV@50557|Insecta,45419@7147|Diptera,45G2A@7148|Nematocera	K	Component of the transcription regulatory histone acetylation (HAT) complex SAGA, a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates in a subcomplex that specifically deubiquitinates histone H2B. The SAGA complex is recruited to specific gene promoters by activators, where it is required for transcription		GO:0000123,GO:0000124,GO:0003674,GO:0003712,GO:0003713,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006325,GO:0006355,GO:0006464,GO:0006508,GO:0006513,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010390,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016043,GO:0016567,GO:0016569,GO:0016570,GO:0016574,GO:0016578,GO:0016579,GO:0019219,GO:0019222,GO:0019538,GO:0030374,GO:0031248,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032446,GO:0032991,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051276,GO:0060255,GO:0065007,GO:0070013,GO:0070461,GO:0070646,GO:0070647,GO:0071704,GO:0071819,GO:0071840,GO:0080090,GO:0140110,GO:1901564,GO:1902493,GO:1902494,GO:1902680,GO:1903506,GO:1903508,GO:1905368,GO:1990234,GO:2000112,GO:2001141	ko:K11363		XP_054276018.1 SAGA-associated factor 11 homolog [Macrosteles quadrilineatus]
TRINITY_DN1273_c4_g1_i6.p1	XP_046677411.1 glucose-6-phosphate isomerase isofo	XP_046677411.1	82.9	0.0	933	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	PGI(PF00342.25)	3.6e-252	COG0166@1|root,KOG2446@2759|Eukaryota,38EWT@33154|Opisthokonta,3B93W@33208|Metazoa,3CUZG@33213|Bilateria,41UB5@6656|Arthropoda,3SIT1@50557|Insecta,4448Z@7088|Lepidoptera	G	Phosphoglucose isomerase		GO:0001701,GO:0001704,GO:0001707,GO:0001775,GO:0002252,GO:0002262,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0002637,GO:0002639,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002791,GO:0002793,GO:0003008,GO:0003674,GO:0003824,GO:0004347,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0005886,GO:0005929,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006735,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006887,GO:0006950,GO:0006955,GO:0006959,GO:0007275,GO:0007369,GO:0007498,GO:0007599,GO:0007610,GO:0007611,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009410,GO:0009435,GO:0009438,GO:0009605,GO:0009612,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009792,GO:0009888,GO:0009892,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010243,GO:0010466,GO:0010594,GO:0010595,GO:0010605,GO:0010632,GO:0010634,GO:0010941,GO:0010951,GO:0012505,GO:0014070,GO:0014072,GO:0016020,GO:0016051,GO:0016052,GO:0016053,GO:0016192,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0016866,GO:0017144,GO:0018130,GO:0019222,GO:0019242,GO:0019318,GO:0019319,GO:0019320,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019674,GO:0019693,GO:0019752,GO:0019899,GO:0030141,GO:0030162,GO:0030246,GO:0030334,GO:0030335,GO:0031090,GO:0031253,GO:0031323,GO:0031324,GO:0031410,GO:0031625,GO:0031974,GO:0031981,GO:0031982,GO:0031983,GO:0032268,GO:0032269,GO:0032355,GO:0032501,GO:0032502,GO:0032570,GO:0032787,GO:0032879,GO:0032880,GO:0032940,GO:0033500,GO:0033574,GO:0033993,GO:0034101,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0034774,GO:0035902,GO:0035994,GO:0036094,GO:0036230,GO:0040012,GO:0040017,GO:0042119,GO:0042180,GO:0042181,GO:0042221,GO:0042493,GO:0042592,GO:0042593,GO:0042866,GO:0042981,GO:0042995,GO:0043005,GO:0043009,GO:0043066,GO:0043067,GO:0043069,GO:0043086,GO:0043154,GO:0043209,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043278,GO:0043279,GO:0043281,GO:0043299,GO:0043312,GO:0043436,GO:0043523,GO:0043524,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044389,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044433,GO:0044441,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0045055,GO:0045321,GO:0045861,GO:0046031,GO:0046034,GO:0046184,GO:0046185,GO:0046364,GO:0046365,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046686,GO:0046700,GO:0046903,GO:0046939,GO:0048029,GO:0048332,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048598,GO:0048646,GO:0048729,GO:0048856,GO:0048872,GO:0048878,GO:0050708,GO:0050714,GO:0050789,GO:0050790,GO:0050794,GO:0050877,GO:0050878,GO:0050890,GO:0050896,GO:0051023,GO:0051024,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051156,GO:0051171,GO:0051172,GO:0051179,GO:0051186,GO:0051188,GO:0051222,GO:0051223,GO:0051234,GO:0051239,GO:0051240,GO:0051246,GO:0051248,GO:0051270,GO:0051272,GO:0051336,GO:0051346,GO:0052547,GO:0052548,GO:0055086,GO:0055114,GO:0060170,GO:0060205,GO:0060255,GO:0060359,GO:0060548,GO:0061615,GO:0061620,GO:0061621,GO:0061718,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070201,GO:0071704,GO:0071944,GO:0072330,GO:0072347,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0080090,GO:0090087,GO:0090407,GO:0097458,GO:0097708,GO:0098588,GO:0098590,GO:0099503,GO:0101002,GO:0120025,GO:0120038,GO:1901135,GO:1901137,GO:1901214,GO:1901215,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901654,GO:1901698,GO:1901700,GO:1903530,GO:1903532,GO:1904813,GO:1904951,GO:2000116,GO:2000117,GO:2000145,GO:2000147	ko:K01810	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200	XP_046677411.1 glucose-6-phosphate isomerase isoform X2 [Homalodisca vitripennis]
TRINITY_DN12744_c0_g1_i15.p1	KAI5743680.1 hypothetical protein M8J77_021036 [Di	KAI5743680.1	42.9	1.56e-261	774	121845	Diaphorina citri	Diaphorina citri	;Arthropoda;Insecta;Hemiptera;Psyllidae;Diaphorina;Diaphorina citri	1	0	0	0	RVT_1(PF00078.33);Exo_endo_phos(PF03372.30)	3.1e-35	KOG1075@1|root,KOG1075@2759|Eukaryota,39TZY@33154|Opisthokonta,3BI15@33208|Metazoa,3CYKV@33213|Bilateria,420TT@6656|Arthropoda,3SQX5@50557|Insecta,3EDFZ@33342|Paraneoptera	S	Reverse transcriptase (RNA-dependent DNA polymerase)					KAI5743680.1 hypothetical protein M8J77_021036 [Diaphorina citri]
TRINITY_DN12744_c0_g1_i3.p1	KAI5746185.1 hypothetical protein M8J77_000906 [Di	KAI5746185.1	46.0	1.94e-149	458	121845	Diaphorina citri	Diaphorina citri	;Arthropoda;Insecta;Hemiptera;Psyllidae;Diaphorina;Diaphorina citri	1	0	0	0	RVT_1(PF00078.33)	1.8e-35	KOG1075@1|root,KOG1075@2759|Eukaryota,39TZY@33154|Opisthokonta,3BI15@33208|Metazoa,3CYKV@33213|Bilateria,420TT@6656|Arthropoda,3SQX5@50557|Insecta,3EDFZ@33342|Paraneoptera	S	Reverse transcriptase (RNA-dependent DNA polymerase)					KAI5746185.1 hypothetical protein M8J77_000906 [Diaphorina citri]
TRINITY_DN12744_c0_g1_i6.p1	KAG8308457.1 hypothetical protein J6590_002544 [Ho	KAG8308457.1	71.6	7.12e-59	193	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0										KAG8308457.1 hypothetical protein J6590_002544 [Homalodisca vitripennis]
TRINITY_DN12744_c0_g1_i7.p1	KAG8308457.1 hypothetical protein J6590_002544 [Ho	KAG8308457.1	71.6	5.42e-59	193	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0										KAG8308457.1 hypothetical protein J6590_002544 [Homalodisca vitripennis]
TRINITY_DN127463_c0_g1_i6.p1	XP_046679339.1 U1 small nuclear ribonucleoprotein 	XP_046679339.1	79.1	2.25e-130	379	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	RRM_1(PF00076.29);RRM_occluded(PF16842.12);RRM_5(PF13893.13)	4.6e-27	KOG4206@1|root,KOG4206@2759|Eukaryota,38FK2@33154|Opisthokonta,3BEDU@33208|Metazoa,3CRNJ@33213|Bilateria,41UMU@6656|Arthropoda,3SGSG@50557|Insecta,46HFT@7399|Hymenoptera	A	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)		GO:0000003,GO:0000375,GO:0000377,GO:0000381,GO:0000398,GO:0001650,GO:0003006,GO:0003674,GO:0003676,GO:0003723,GO:0003727,GO:0003729,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005681,GO:0005684,GO:0005685,GO:0005686,GO:0005730,GO:0006139,GO:0006325,GO:0006342,GO:0006355,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0006996,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007530,GO:0007538,GO:0007539,GO:0007542,GO:0008150,GO:0008152,GO:0008187,GO:0008266,GO:0008380,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016070,GO:0016071,GO:0016458,GO:0016604,GO:0016607,GO:0017069,GO:0018992,GO:0018993,GO:0019099,GO:0019219,GO:0019222,GO:0019953,GO:0022412,GO:0022414,GO:0030154,GO:0030237,GO:0030532,GO:0030619,GO:0030620,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0034401,GO:0034641,GO:0035613,GO:0035614,GO:0036002,GO:0040029,GO:0042802,GO:0043021,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043484,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044452,GO:0044464,GO:0044703,GO:0044877,GO:0045814,GO:0045892,GO:0045934,GO:0046483,GO:0048024,GO:0048468,GO:0048477,GO:0048519,GO:0048523,GO:0048609,GO:0048856,GO:0048869,GO:0050684,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051704,GO:0060255,GO:0065007,GO:0070013,GO:0070828,GO:0070868,GO:0070990,GO:0071005,GO:0071007,GO:0071011,GO:0071013,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097157,GO:0097158,GO:0097159,GO:0097525,GO:0097549,GO:0120114,GO:1901360,GO:1901363,GO:1902494,GO:1902679,GO:1903311,GO:1903506,GO:1903507,GO:1990904,GO:2000112,GO:2000113,GO:2001141	ko:K11091,ko:K11094	ko03040,map03040	XP_046679339.1 U1 small nuclear ribonucleoprotein A [Homalodisca vitripennis]
TRINITY_DN12746_c0_g1_i1.p1	XP_047114050.1 cuticle protein 21-like [Schistocer	XP_047114050.1	50.3	4.52e-25	112	274613	Schistocerca piceifrons	Schistocerca piceifrons	;Arthropoda;Insecta;Orthoptera;Acrididae;Schistocerca;Schistocerca piceifrons	1	0	0	0	Chitin_bind_4(PF00379.30)	3e-17	2C9WU@1|root,2S21C@2759|Eukaryota,3A3TN@33154|Opisthokonta,3BSBP@33208|Metazoa,3D8DZ@33213|Bilateria,4204E@6656|Arthropoda,3SMTW@50557|Insecta	S	cuticle protein		GO:0003674,GO:0005198,GO:0005214,GO:0005575,GO:0005576,GO:0007275,GO:0008010,GO:0008150,GO:0031012,GO:0032501,GO:0032502,GO:0040003,GO:0042302,GO:0042335,GO:0044421,GO:0048856			XP_047114050.1 cuticle protein 21-like [Schistocerca piceifrons]
