protein_id	is_secreted	has_sp	sp_prob	cs_pos	signalp_pred	tm_count	topology	diamond_subject	gene_name	diamond_pident	diamond_evalue	source_organism	eggnog_desc	go_terms	kegg_ko	kegg_pathway	cog_category	pfam_domains
TRINITY_DN173923_c1_g2_i3.p1	True	True	0.99	18	SP(Sec/SPI)	1	h	XP_024220035.1	XP_024220035.1 COPII coat assembly protein sec16-l	53.6	3.11e-53	Halyomorpha halys						VOPP1_C(PF27963.1)
TRINITY_DN25714_c1_g5_i1.p1	False	False	0.0		OTHER	0												
TRINITY_DN1196_c0_g2_i3.p1	False	False	0.05		OTHER	4	H,h,H,h	XP_023712569.1	XP_023712569.1 uncharacterized protein LOC11186719	61.0	8.59e-128	Cryptotermes secundus			ko:K22194			
TRINITY_DN33261_c0_g2_i1.p1	False	False	0.0		OTHER	0		ADM89883.1	ADM89883.1 3-isopropylmalate dehydratase large sub	95.9	0.0	Candidatus Karelsulcia muelleri CARI	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate		ko:K01703	ko00290,ko00660,ko00966,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map00966,map01100,map01110,map01210,map01230	H	Aconitase(PF00330.26)
TRINITY_DN4820_c0_g2_i2.p2	False	False	0.0		OTHER	0		XP_048512841.1	XP_048512841.1 uncharacterized protein LOC12550137	37.1	1.95e-39	Athalia rosae	K02A2.6-like				O	rve(PF00665.33)
TRINITY_DN44533_c0_g1_i12.p1	False	False	0.0		OTHER	0		XP_046674253.1	XP_046674253.1 uncharacterized protein LOC12436315	50.7	8.69e-31	Homalodisca vitripennis	Doublesex DNA-binding motif	GO:0000003,GO:0000122,GO:0000902,GO:0000904,GO:0000976,GO:0000977,GO:0000981,GO:0000982,GO:0001012,GO:0001067,GO:0001077,GO:0001078,GO:0001227,GO:0001228,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006928,GO:0006935,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0007423,GO:0007444,GO:0007484,GO:0007485,GO:0007486,GO:0007487,GO:0007530,GO:0007548,GO:0007610,GO:0007617,GO:0007618,GO:0007619,GO:0008037,GO:0008038,GO:0008049,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009605,GO:0009653,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016043,GO:0016070,GO:0016198,GO:0016199,GO:0016545,GO:0018130,GO:0018993,GO:0019098,GO:0019101,GO:0019219,GO:0019222,GO:0019438,GO:0019953,GO:0022008,GO:0022414,GO:0030030,GO:0030154,GO:0030182,GO:0030237,GO:0030540,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032501,GO:0032502,GO:0032504,GO:0032774,GO:0032989,GO:0032990,GO:0034641,GO:0034645,GO:0034654,GO:0035215,GO:0035295,GO:0040011,GO:0042221,GO:0042330,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043473,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0044703,GO:0045433,GO:0045496,GO:0045497,GO:0045498,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0046660,GO:0046661,GO:0046872,GO:0046914,GO:0046983,GO:0048065,GO:0048066,GO:0048070,GO:0048071,GO:0048086,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048608,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048806,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051704,GO:0060179,GO:0060255,GO:0060429,GO:0061458,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097485,GO:0097659,GO:0120036,GO:0120039,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2001141			K	DM(PF00751.24)
TRINITY_DN26145_c0_g2_i2.p1	False	False	0.0		OTHER	0												
TRINITY_DN1868_c0_g1_i2.p1	False	False	0.0		OTHER	0		XP_049807692.1	XP_049807692.1 puromycin-sensitive aminopeptidase 	68.6	0.0	Schistocerca nitens	zinc ion binding. It is involved in the biological process described with proteolysis	GO:0000003,GO:0000209,GO:0000578,GO:0000793,GO:0000922,GO:0001666,GO:0003002,GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0005819,GO:0005829,GO:0005856,GO:0006464,GO:0006508,GO:0006518,GO:0006807,GO:0006950,GO:0007049,GO:0007275,GO:0007350,GO:0007351,GO:0007389,GO:0008150,GO:0008152,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0008270,GO:0008595,GO:0009056,GO:0009628,GO:0009790,GO:0009792,GO:0009798,GO:0009880,GO:0009948,GO:0009952,GO:0009987,GO:0010564,GO:0010720,GO:0015630,GO:0016567,GO:0016787,GO:0019538,GO:0022402,GO:0022414,GO:0030588,GO:0030590,GO:0032446,GO:0032501,GO:0032502,GO:0033218,GO:0033554,GO:0034641,GO:0035282,GO:0036211,GO:0036293,GO:0036294,GO:0042221,GO:0042277,GO:0043167,GO:0043169,GO:0043170,GO:0043171,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043412,GO:0043603,GO:0043900,GO:0043902,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044770,GO:0044771,GO:0045595,GO:0045597,GO:0046662,GO:0046872,GO:0046914,GO:0048518,GO:0048522,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050795,GO:0050896,GO:0051094,GO:0051179,GO:0051235,GO:0051239,GO:0051240,GO:0051321,GO:0051445,GO:0051640,GO:0051641,GO:0051642,GO:0051651,GO:0051657,GO:0051661,GO:0051716,GO:0051726,GO:0060281,GO:0060282,GO:0060284,GO:0061842,GO:0065007,GO:0065008,GO:0070006,GO:0070011,GO:0070482,GO:0070647,GO:0070887,GO:0071453,GO:0071456,GO:0071704,GO:0072686,GO:0097431,GO:0140096,GO:1900193,GO:1900195,GO:1901564,GO:1901565,GO:1901575,GO:1903046,GO:1903429,GO:1903431,GO:1903538,GO:1905879,GO:1905881,GO:1990947,GO:2000241,GO:2000243	ko:K08776		O	ERAP1_C(PF11838.15);Peptidase_M1(PF01433.27);Peptidase_M1_N(PF17900.7)
TRINITY_DN1220_c0_g1_i5.p2	False	False	0.07		OTHER	0		CRX68477.1	CRX68477.1 unnamed protein product [Stenotrophomon	99.1	2.02e-75	Stenotrophomonas maltophilia						
TRINITY_DN13231_c0_g1_i4.p1	False	False	0.0		OTHER	0		XP_054264920.1	XP_054264920.1 protein neuralized isoform X2 [Macr	76.2	0.0	Macrosteles quadrilineatus	Zinc ion binding	GO:0000003,GO:0000209,GO:0000226,GO:0001101,GO:0001578,GO:0001654,GO:0001709,GO:0001932,GO:0001934,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002165,GO:0002682,GO:0002683,GO:0003002,GO:0003006,GO:0003008,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005886,GO:0006417,GO:0006464,GO:0006513,GO:0006807,GO:0006810,GO:0006897,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007176,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007288,GO:0007292,GO:0007389,GO:0007398,GO:0007399,GO:0007422,GO:0007423,GO:0007444,GO:0007472,GO:0007476,GO:0007498,GO:0007552,GO:0007560,GO:0007589,GO:0007595,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0008052,GO:0008104,GO:0008150,GO:0008152,GO:0008270,GO:0008285,GO:0008289,GO:0008356,GO:0008593,GO:0009653,GO:0009719,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010033,GO:0010160,GO:0010243,GO:0010468,GO:0010469,GO:0010556,GO:0010562,GO:0010604,GO:0010608,GO:0010646,GO:0010647,GO:0010648,GO:0010720,GO:0010941,GO:0010942,GO:0010975,GO:0010976,GO:0012505,GO:0014069,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016192,GO:0016360,GO:0016567,GO:0016740,GO:0016874,GO:0019220,GO:0019222,GO:0019538,GO:0019787,GO:0019827,GO:0019953,GO:0022008,GO:0022412,GO:0022414,GO:0022603,GO:0022607,GO:0023051,GO:0023056,GO:0023057,GO:0030030,GO:0030031,GO:0030154,GO:0030317,GO:0030425,GO:0030707,GO:0030718,GO:0030855,GO:0030879,GO:0031323,GO:0031325,GO:0031326,GO:0031344,GO:0031346,GO:0031399,GO:0031401,GO:0031410,GO:0031982,GO:0032268,GO:0032270,GO:0032279,GO:0032446,GO:0032501,GO:0032502,GO:0032504,GO:0033036,GO:0033365,GO:0033674,GO:0034248,GO:0034613,GO:0035082,GO:0035091,GO:0035107,GO:0035114,GO:0035120,GO:0035203,GO:0035204,GO:0035220,GO:0035239,GO:0035295,GO:0036211,GO:0036477,GO:0040011,GO:0042058,GO:0042127,GO:0042221,GO:0042325,GO:0042327,GO:0042478,GO:0042886,GO:0042981,GO:0042995,GO:0043005,GO:0043025,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043197,GO:0043200,GO:0043204,GO:0043226,GO:0043227,GO:0043229,GO:0043412,GO:0043549,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044297,GO:0044309,GO:0044424,GO:0044444,GO:0044456,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0045165,GO:0045182,GO:0045183,GO:0045184,GO:0045202,GO:0045314,GO:0045595,GO:0045596,GO:0045597,GO:0045610,GO:0045611,GO:0045613,GO:0045614,GO:0045664,GO:0045666,GO:0045741,GO:0045742,GO:0045746,GO:0045747,GO:0045859,GO:0045860,GO:0045937,GO:0046532,GO:0046872,GO:0046903,GO:0046914,GO:0048167,GO:0048168,GO:0048169,GO:0048170,GO:0048232,GO:0048468,GO:0048471,GO:0048477,GO:0048513,GO:0048515,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048580,GO:0048581,GO:0048583,GO:0048584,GO:0048585,GO:0048609,GO:0048645,GO:0048646,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048732,GO:0048736,GO:0048737,GO:0048749,GO:0048856,GO:0048859,GO:0048869,GO:0048870,GO:0050730,GO:0050731,GO:0050767,GO:0050769,GO:0050773,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050804,GO:0050807,GO:0050877,GO:0050878,GO:0050890,GO:0050896,GO:0051093,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051259,GO:0051260,GO:0051301,GO:0051338,GO:0051347,GO:0051489,GO:0051491,GO:0051641,GO:0051674,GO:0051704,GO:0051716,GO:0051960,GO:0051962,GO:0060255,GO:0060271,GO:0060284,GO:0060429,GO:0060491,GO:0060562,GO:0060581,GO:0060582,GO:0060998,GO:0060999,GO:0061097,GO:0061098,GO:0061630,GO:0061659,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070086,GO:0070647,GO:0070727,GO:0070887,GO:0070925,GO:0071229,GO:0071230,GO:0071310,GO:0071417,GO:0071495,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0072594,GO:0080090,GO:0090128,GO:0090129,GO:0097440,GO:0097447,GO:0097458,GO:0097708,GO:0097722,GO:0098657,GO:0098727,GO:0098794,GO:0098984,GO:0099177,GO:0099572,GO:0120025,GO:0120031,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0140096,GO:1900006,GO:1901184,GO:1901186,GO:1901564,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1901981,GO:1903706,GO:1903707,GO:2000026,GO:2000027,GO:2000112,GO:2000273	ko:K01931,ko:K15689,ko:K16782		O	Neuralized(PF07177.20);zf-C3HC4_3(PF13920.13)
TRINITY_DN824_c0_g1_i2.p1	False	False	0.01		OTHER	0		KAJ9048582.1	KAJ9048582.1 hypothetical protein DSO57_1033645 [E	52.1	3.08e-37	Entomophthora muscae	Belongs to the small heat shock protein (HSP20) family	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006457,GO:0006950,GO:0006986,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010033,GO:0033554,GO:0034605,GO:0034620,GO:0035966,GO:0035967,GO:0042221,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0050896,GO:0051082,GO:0051716,GO:0051788,GO:0061077,GO:0070887,GO:0071218,GO:0071310	ko:K13993	ko04141,map04141	O	HSP20(PF00011.28)
TRINITY_DN97710_c1_g1_i1.p1	False	False	0.0		OTHER	0												
TRINITY_DN462_c1_g1_i1.p2	False	False	0.0		OTHER	0		KAJ9601132.1	KAJ9601132.1 hypothetical protein L9F63_000711, pa	90.8	2.45e-63	Diploptera punctata	binding. It is involved in the biological process described with	GO:0000003,GO:0000166,GO:0000902,GO:0000904,GO:0001501,GO:0001505,GO:0001508,GO:0001664,GO:0001750,GO:0001775,GO:0001882,GO:0001883,GO:0001932,GO:0001933,GO:0001956,GO:0002119,GO:0002164,GO:0002251,GO:0002253,GO:0002376,GO:0002385,GO:0002682,GO:0002684,GO:0002831,GO:0003008,GO:0003674,GO:0003824,GO:0003924,GO:0005096,GO:0005102,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005834,GO:0005886,GO:0005901,GO:0005929,GO:0006469,GO:0006810,GO:0006897,GO:0006928,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0007186,GO:0007187,GO:0007188,GO:0007189,GO:0007200,GO:0007202,GO:0007210,GO:0007212,GO:0007213,GO:0007215,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0007417,GO:0007420,GO:0007507,GO:0007568,GO:0007596,GO:0007599,GO:0007600,GO:0007602,GO:0007603,GO:0007606,GO:0007608,GO:0007610,GO:0007626,GO:0007629,GO:0007631,GO:0007635,GO:0008037,GO:0008038,GO:0008047,GO:0008081,GO:0008150,GO:0008277,GO:0008284,GO:0008340,GO:0008344,GO:0009266,GO:0009268,GO:0009314,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009584,GO:0009605,GO:0009607,GO:0009611,GO:0009617,GO:0009628,GO:0009649,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009791,GO:0009892,GO:0009898,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010035,GO:0010037,GO:0010259,GO:0010517,GO:0010518,GO:0010563,GO:0010605,GO:0010646,GO:0010647,GO:0010648,GO:0010720,GO:0010721,GO:0010817,GO:0010863,GO:0010941,GO:0010942,GO:0010959,GO:0010975,GO:0010976,GO:0014056,GO:0014057,GO:0016020,GO:0016027,GO:0016028,GO:0016043,GO:0016056,GO:0016059,GO:0016060,GO:0016192,GO:0016198,GO:0016199,GO:0016322,GO:0016462,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019098,GO:0019220,GO:0019222,GO:0019725,GO:0019897,GO:0019898,GO:0019932,GO:0019933,GO:0019935,GO:0021700,GO:0021872,GO:0021879,GO:0021884,GO:0021953,GO:0021954,GO:0022008,GO:0022400,GO:0022414,GO:0022603,GO:0022607,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030030,GO:0030111,GO:0030154,GO:0030168,GO:0030182,GO:0030234,GO:0030322,GO:0030326,GO:0030424,GO:0030425,GO:0030534,GO:0030695,GO:0030900,GO:0031175,GO:0031234,GO:0031323,GO:0031324,GO:0031344,GO:0031346,GO:0031347,GO:0031399,GO:0031400,GO:0031647,GO:0031683,GO:0031821,GO:0031826,GO:0032101,GO:0032103,GO:0032222,GO:0032224,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032504,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032870,GO:0032879,GO:0032880,GO:0032989,GO:0032990,GO:0032991,GO:0033673,GO:0035107,GO:0035108,GO:0035113,GO:0035556,GO:0035639,GO:0035690,GO:0036094,GO:0036477,GO:0040011,GO:0040012,GO:0040017,GO:0042060,GO:0042127,GO:0042221,GO:0042325,GO:0042326,GO:0042330,GO:0042391,GO:0042493,GO:0042551,GO:0042578,GO:0042592,GO:0042711,GO:0042733,GO:0042742,GO:0042752,GO:0042981,GO:0042995,GO:0043005,GO:0043025,GO:0043051,GO:0043052,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043085,GO:0043086,GO:0043087,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043266,GO:0043267,GO:0043269,GO:0043270,GO:0043271,GO:0043473,GO:0043547,GO:0043549,GO:0043900,GO:0043933,GO:0044057,GO:0044062,GO:0044085,GO:0044092,GO:0044093,GO:0044297,GO:0044422,GO:0044424,GO:0044425,GO:0044441,GO:0044444,GO:0044459,GO:0044463,GO:0044464,GO:0044853,GO:0044877,GO:0045088,GO:0045121,GO:0045595,GO:0045596,GO:0045597,GO:0045634,GO:0045664,GO:0045666,GO:0045859,GO:0045936,GO:0046662,GO:0046668,GO:0046669,GO:0046671,GO:0046673,GO:0046883,GO:0046887,GO:0046928,GO:0047391,GO:0048066,GO:0048070,GO:0048468,GO:0048469,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048598,GO:0048609,GO:0048660,GO:0048661,GO:0048666,GO:0048667,GO:0048679,GO:0048680,GO:0048699,GO:0048731,GO:0048736,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050769,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050795,GO:0050804,GO:0050806,GO:0050817,GO:0050821,GO:0050830,GO:0050877,GO:0050878,GO:0050896,GO:0050920,GO:0050932,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051051,GO:0051093,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051248,GO:0051259,GO:0051291,GO:0051336,GO:0051338,GO:0051345,GO:0051348,GO:0051588,GO:0051590,GO:0051606,GO:0051704,GO:0051707,GO:0051716,GO:0051952,GO:0051954,GO:0051960,GO:0051962,GO:0060158,GO:0060173,GO:0060191,GO:0060193,GO:0060249,GO:0060255,GO:0060259,GO:0060284,GO:0060322,GO:0060341,GO:0060359,GO:0060548,GO:0060589,GO:0060746,GO:0060828,GO:0061564,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070050,GO:0070206,GO:0070208,GO:0070570,GO:0070572,GO:0070887,GO:0071214,GO:0071241,GO:0071242,GO:0071244,GO:0071310,GO:0071467,GO:0071478,GO:0071482,GO:0071495,GO:0071695,GO:0071840,GO:0071944,GO:0072347,GO:0072359,GO:0080090,GO:0080134,GO:0080135,GO:0095500,GO:0097159,GO:0097367,GO:0097447,GO:0097458,GO:0097485,GO:0097730,GO:0097731,GO:0097733,GO:0098542,GO:0098552,GO:0098562,GO:0098589,GO:0098590,GO:0098657,GO:0098772,GO:0098796,GO:0098797,GO:0098805,GO:0098857,GO:0099177,GO:0104004,GO:0120025,GO:0120035,GO:0120036,GO:0120038,GO:0120039,GO:1900073,GO:1900274,GO:1900424,GO:1901265,GO:1901363,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902074,GO:1902473,GO:1902474,GO:1902477,GO:1902494,GO:1903034,GO:1903036,GO:1903530,GO:1903532,GO:1903831,GO:1903998,GO:1905144,GO:1905145,GO:1905360,GO:2000026,GO:2000027,GO:2000241,GO:2000292,GO:2001023,GO:2001025	ko:K04634,ko:K04635	ko04015,ko04020,ko04022,ko04071,ko04261,ko04270,ko04371,ko04540,ko04611,ko04713,ko04720,ko04723,ko04724,ko04725,ko04726,ko04728,ko04730,ko04745,ko04750,ko04911,ko04912,ko04915,ko04916,ko04918,ko04921,ko04922,ko04924,ko04925,ko04927,ko04934,ko04961,ko04970,ko04971,ko04972,ko05010,ko05016,ko05142,ko05143,ko05146,ko05200,map04015,map04020,map04022,map04071,map04261,map04270,map04371,map04540,map04611,map04713,map04720,map04723,map04724,map04725,map04726,map04728,map04730,map04745,map04750,map04911,map04912,map04915,map04916,map04918,map04921,map04922,map04924,map04925,map04927,map04934,map04961,map04970,map04971,map04972,map05010,map05016,map05142,map05143,map05146,map05200	T	G-alpha(PF00503.27);Arf(PF00025.28)
TRINITY_DN22084_c0_g1_i1.p1	True	True	1.0	19	SP(Sec/SPI)	0		CAD7265362.1	CAD7265362.1 unnamed protein product [Timema shepa	42.9	3.00e-31	Timema shepardi	Ejaculatory bulb-specific protein 3-like	GO:0000003,GO:0005575,GO:0005576,GO:0007275,GO:0007552,GO:0007610,GO:0008150,GO:0009605,GO:0009607,GO:0009615,GO:0019098,GO:0022414,GO:0032501,GO:0032502,GO:0032504,GO:0043207,GO:0045297,GO:0048609,GO:0048856,GO:0050896,GO:0051704,GO:0051707	ko:K15127		S	OS-D(PF03392.19)
TRINITY_DN4580_c0_g1_i25.p1	False	False	0.0		OTHER	0		XP_046665777.1	XP_046665777.1 protein kibra [Homalodisca vitripen	80.0	0.0	Homalodisca vitripennis	Regulator of the Hippo SWH (Sav Wts Hpo) signaling pathway, a signaling pathway that plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. The core of this pathway is composed of a kinase cascade wherein Hippo (Hpo), in complex with its regulatory protein Salvador (Sav), phosphorylates and activates Warts (Wts) in complex with its regulatory protein Mats, which in turn phosphorylates and inactivates the Yorkie (Yki) oncoprotein. Kibra acts synergistically along with Ex and Mer to regulate the Hippo signaling pathway	GO:0000003,GO:0000122,GO:0001654,GO:0001667,GO:0001726,GO:0001745,GO:0001932,GO:0001934,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003674,GO:0003712,GO:0003713,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0005911,GO:0005938,GO:0006355,GO:0006357,GO:0006928,GO:0007154,GO:0007163,GO:0007165,GO:0007166,GO:0007219,GO:0007221,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007423,GO:0008150,GO:0008285,GO:0009653,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009898,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010562,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010631,GO:0010646,GO:0010647,GO:0010648,GO:0010721,GO:0010941,GO:0010942,GO:0014013,GO:0014014,GO:0016020,GO:0016324,GO:0016477,GO:0019219,GO:0019220,GO:0019222,GO:0019899,GO:0019900,GO:0019953,GO:0022008,GO:0022412,GO:0022414,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030010,GO:0030054,GO:0030154,GO:0030674,GO:0030707,GO:0030855,GO:0031252,GO:0031253,GO:0031256,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031399,GO:0031401,GO:0032268,GO:0032270,GO:0032386,GO:0032501,GO:0032502,GO:0032504,GO:0032587,GO:0032879,GO:0032947,GO:0032991,GO:0035329,GO:0035330,GO:0035331,GO:0035332,GO:0035556,GO:0036375,GO:0040008,GO:0040011,GO:0042127,GO:0042325,GO:0042327,GO:0042981,GO:0042995,GO:0043065,GO:0043067,GO:0043068,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043408,GO:0043410,GO:0044424,GO:0044425,GO:0044444,GO:0044448,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0045177,GO:0045179,GO:0045595,GO:0045596,GO:0045892,GO:0045893,GO:0045926,GO:0045934,GO:0045935,GO:0045937,GO:0045944,GO:0046620,GO:0046621,GO:0048468,GO:0048471,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048609,GO:0048638,GO:0048640,GO:0048699,GO:0048731,GO:0048749,GO:0048856,GO:0048869,GO:0048870,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051049,GO:0051093,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051239,GO:0051241,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051254,GO:0051674,GO:0051704,GO:0051716,GO:0051960,GO:0051961,GO:0060090,GO:0060251,GO:0060253,GO:0060255,GO:0060284,GO:0060341,GO:0060429,GO:0065007,GO:0071944,GO:0080090,GO:0090130,GO:0090132,GO:0090596,GO:0098552,GO:0098562,GO:0098590,GO:0098592,GO:0099568,GO:0099738,GO:0120025,GO:0120038,GO:0140110,GO:1902531,GO:1902532,GO:1902533,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000026,GO:2000112,GO:2000113,GO:2001141	ko:K16685	ko04390,ko04391,ko04392,map04390,map04391,map04392	K	WWC1(PF25802.1);WW(PF00397.33);C2(PF00168.37)
TRINITY_DN22749_c0_g2_i1.p1	False	False	0.0		OTHER	0												
